iso	chr	start	end
Gd_00045-a2ab	chr1001	2092099	2092374
Gd_00045-a2ab	chr1001	2092816	2092936
Gd_00045-a2ab	chr1001	2105160	2108402
Gd_00045-a2ab	chr1001	2108883	2135417
Gd_00045-a2ab	chr1001	2137581	2142220
Gd_00045-a2ab	chr1001	2144008	2144457
Gd_00045-a2ab	chr1001	2144608	2146404
Gd_00045-a2ab	chr1001	2152233	2220400
Gd_00045-a2ab	chr1001	2220480	2221765
Gd_00045-a2ab	chr1001	2221782	2224515
Gd_00045-a2ab	chr1001	2224547	2229756
Gd_00045-a2ab	chr1001	2229865	2249480
Gd_00045-a2ab	chr1001	2249493	2250213
Gd_00045-a2ab	chr1001	2250229	2265419
Gd_00045-a2ab	chr1001	2265531	2267151
Gd_00045-a2ab	chr1001	2267331	2267591
Gd_00045-a2ab	chr1001	2267639	2267966
Gd_00045-a2ab	chr1001	2267980	2269678
Gd_00045-a2ab	chr1001	2284144	2284598
Gd_00045-a2ab	chr1001	2284790	2286978
Gd_00045-a2ab	chr1001	2286997	2294086
Gd_00045-a2ab	chr1001	2294102	2295374
Gd_00045-a2ab	chr1001	2296807	2305241
Gd_00045-a2ab	chr1001	2305268	2311383
Gd_00045-a2ab	chr1001	2313245	2322052
Gd_00045-a2ab	chr1001	2322983	2324670
Gd_00045-a2ab	chr1001	2333347	2335589
Gd_00045-a2ab	chr1001	2464020	2468557
Gd_00045-a2ab	chr1001	2468621	2477626
Gd_00045-a2ab	chr1001	2478568	2479324
Gd_00045-a2ab	chr1001	2479370	2479800
Gd_00045-a2ab	chr1001	2480281	2482157
Gd_00045-a2ab	chr1001	2483506	2485104
Gd_00045-a2ab	chr1001	2488388	2489138
Gd_00045-a2ab	chr1001	2489237	2489459
Gd_00045-a2ab	chr1001	2489472	2490067
Gd_00045-a2ab	chr1001	2490093	2495854
Gd_00045-a2ab	chr1001	2496097	2499538
Gd_00045-a2ab	chr1001	2499730	2500687
Gd_00045-a2ab	chr1001	2508131	2508609
Gd_00045-a2ab	chr1001	2508653	2509064
Gd_00045-a2ab	chr1001	2509085	2509530
Gd_00045-a2ab	chr1001	2617203	2619361
Gd_00045-a2ab	chr1001	2727303	2728909
Gd_00045-a2ab	chr1001	2728931	2760766
Gd_00045-a2ab	chr1001	2760799	2761078
Gd_00045-a2ab	chr1001	2761093	2763302
Gd_00045-a2ab	chr1001	2763343	2802850
Gd_00045-a2ab	chr1001	2804913	2809564
Gd_00045-a2ab	chr1001	2809599	2809783
Gd_00045-a2ab	chr1001	2809844	2809995
Gd_00045-a2ab	chr1001	2810742	2819125
Gd_00045-a2ab	chr1001	2819294	2826427
Gd_00045-a2ab	chr1001	2826625	2831140
Gd_00045-a2ab	chr1001	2831174	2831367
Gd_00045-a2ab	chr1001	2831680	2833725
Gd_00045-a2ab	chr1001	2833770	2834770
Gd_00045-a2ab	chr1001	2834783	2843122
Gd_00045-a2ab	chr1001	2843411	2854526
Gd_00045-a2ab	chr1001	2855468	2857899
Gd_00045-a2ab	chr1001	2857960	2859875
Gd_00045-a2ab	chr1001	2898888	2899300
Gd_00045-a2ab	chr1001	2910168	2910568
Gd_00045-a2ab	chr1001	2912316	2925608
Gd_00045-a2ab	chr1001	2925621	2940374
Gd_00045-a2ab	chr1001	2940477	2941613
Gd_00045-a2ab	chr1001	2941685	2942196
Gd_00045-a2ab	chr1001	2944045	2946716
Gd_00045-a2ab	chr1001	2946738	2946969
Gd_00045-a2ab	chr1001	2953975	2955692
Gd_00045-a2ab	chr1001	2965454	2966524
Gd_00045-a2ab	chr1001	2969006	2970736
Gd_00045-a2ab	chr1001	2970749	2982563
Gd_00045-a2ab	chr1001	2989404	2990159
Gd_00045-a2ab	chr1001	2990236	2990803
Gd_00045-a2ab	chr1001	2992666	3006731
Gd_00045-a2ab	chr1001	3006792	3011643
Gd_00045-a2ab	chr1001	3011911	3013660
Gd_00045-a2ab	chr1001	3013719	3013895
Gd_00045-a2ab	chr1001	3013987	3019543
Gd_00045-a2ab	chr1001	3019607	3030003
Gd_00045-a2ab	chr1001	3030040	3031809
Gd_00045-a2ab	chr1001	3036921	3044697
Gd_00045-a2ab	chr1001	3044752	3063396
Gd_00045-a2ab	chr1001	3063412	3065286
Gd_00045-a2ab	chr1001	3066415	3066953
Gd_00045-a2ab	chr1001	3068816	3072051
Gd_00045-a2ab	chr1001	3072532	3072962
Gd_00045-a2ab	chr1001	3073844	3073981
Gd_00045-a2ab	chr1001	3076721	3077820
Gd_00045-a2ab	chr1001	3164123	3164236
Gd_00045-a2ab	chr1001	3169027	3169922
Gd_00045-a2ab	chr1001	3188276	3195254
Gd_00045-a2ab	chr1001	3195768	3195979
Gd_00045-a2ab	chr1001	3196070	3197170
Gd_00045-a2ab	chr1001	3198113	3198670
Gd_00045-a2ab	chr1001	3200003	3202955
Gd_00045-a2ab	chr1001	3295295	3298406
Gd_00045-a2ab	chr1001	3298548	3303178
Gd_00045-a2ab	chr1001	3306621	3310507
Gd_00045-a2ab	chr1001	3311942	3312098
Gd_00045-a2ab	chr1001	3346159	3348002
Gd_00045-a2ab	chr1001	3348154	3348312
Gd_00045-a2ab	chr1001	3348548	3352889
Gd_00045-a2ab	chr1001	3353223	3356887
Gd_00045-a2ab	chr1001	3356905	3360086
Gd_00045-a2ab	chr1001	3362111	3370132
Gd_00045-a2ab	chr1001	3577570	3577707
Gd_00045-a2ab	chr1001	3577738	3578239
Gd_00045-a2ab	chr1001	3579298	3579584
Gd_00045-a2ab	chr1001	3580249	3586968
Gd_00045-a2ab	chr1001	3683175	3684968
Gd_00045-a2ab	chr1001	3686446	3723037
Gd_00045-a2ab	chr1001	3723690	3726408
Gd_00045-a2ab	chr1001	3727350	3727494
Gd_00045-a2ab	chr1001	3741224	3789080
Gd_00045-a2ab	chr1001	3789105	3794535
Gd_00045-a2ab	chr1001	3794546	3796631
Gd_00045-a2ab	chr1001	3796667	3796912
Gd_00045-a2ab	chr1001	3796947	3797219
Gd_00045-a2ab	chr1001	3797235	3798205
Gd_00045-a2ab	chr1001	3798258	3798683
Gd_00045-a2ab	chr1001	3798744	3799009
Gd_00045-a2ab	chr1001	3799041	3805355
Gd_00045-a2ab	chr1001	3805666	3806185
Gd_00045-a2ab	chr1001	3806203	3810132
Gd_00045-a2ab	chr1001	3810286	3829084
Gd_00045-a2ab	chr1001	3841516	3844993
Gd_00045-a2ab	chr1001	3878688	3881947
Gd_00045-a2ab	chr1001	3884911	3885239
Gd_00045-a2ab	chr1001	3885548	3885959
Gd_00045-a2ab	chr1001	4027840	4031380
Gd_00045-a2ab	chr1001	4031393	4033117
Gd_00045-a2ab	chr1001	4033334	4039604
Gd_00045-a2ab	chr1001	4039623	4054297
Gd_00045-a2ab	chr1001	4054372	4080927
Gd_00045-a2ab	chr1001	4081008	4101445
Gd_00045-a2ab	chr1001	4101474	4108986
Gd_00045-a2ab	chr1001	4110580	4112399
Gd_00045-a2ab	chr1001	4117805	4130836
Gd_00045-a2ab	chr1001	4130849	4132456
Gd_00045-a2ab	chr1001	4132570	4134301
Gd_00045-a2ab	chr1001	4134324	4135932
Gd_00045-a2ab	chr1001	4135981	4148617
Gd_00045-a2ab	chr1001	4150974	4152255
Gd_00045-a2ab	chr1001	4152984	4153112
Gd_00045-a2ab	chr1001	4153127	4158245
Gd_00045-a2ab	chr1001	4171755	4171965
Gd_00045-a2ab	chr1001	4172069	4177136
Gd_00045-a2ab	chr1001	4177617	4179565
Gd_00045-a2ab	chr1001	4182367	4183543
Gd_00045-a2ab	chr1001	4183557	4188268
Gd_00045-a2ab	chr1001	4205094	4210979
Gd_00045-a2ab	chr1001	4245253	4260443
Gd_00045-a2ab	chr1001	4260460	4260866
Gd_00045-a2ab	chr1001	4263650	4263827
Gd_00045-a2ab	chr1001	4265857	4265995
Gd_00045-a2ab	chr1001	4267769	4270055
Gd_00045-a2ab	chr1001	4270536	4279369
Gd_00045-a2ab	chr1001	4279535	4285267
Gd_00045-a2ab	chr1001	4287129	4296844
Gd_00045-a2ab	chr1001	4296907	4298720
Gd_00045-a2ab	chr1001	4298736	4300439
Gd_00045-a2ab	chr1001	4302403	4304341
Gd_00045-a2ab	chr1001	4304393	4322481
Gd_00045-a2ab	chr1001	4322503	4324286
Gd_00045-a2ab	chr1001	4324513	4325202
Gd_00045-a2ab	chr1001	4325578	4325925
Gd_00045-a2ab	chr1001	4329379	4330269
Gd_00045-a2ab	chr1001	4330750	4331112
Gd_00045-a2ab	chr1001	4331131	4331813
Gd_00045-a2ab	chr1001	4332762	4334271
Gd_00045-a2ab	chr1001	4334282	4346167
Gd_00045-a2ab	chr1001	4346186	4364952
Gd_00045-a2ab	chr1001	4365353	4365496
Gd_00045-a2ab	chr1001	4366789	4366969
Gd_00045-a2ab	chr1001	4373491	4373783
Gd_00045-a2ab	chr1001	4374003	4390491
Gd_00045-a2ab	chr1001	4390596	4391287
Gd_00045-a2ab	chr1001	4391304	4395766
Gd_00045-a2ab	chr1001	4395809	4409341
Gd_00045-a2ab	chr1001	4409353	4418055
Gd_00045-a2ab	chr1001	4418066	4428409
Gd_00045-a2ab	chr1001	4428457	4436224
Gd_00045-a2ab	chr1001	4444446	4444573
Gd_00045-a2ab	chr1001	4451561	4451704
Gd_00045-a2ab	chr1001	4452005	4452137
Gd_00045-a2ab	chr1001	4452309	4452416
Gd_00045-a2ab	chr1001	4457278	4473709
Gd_00045-a2ab	chr1001	4473738	4476430
Gd_00045-a2ab	chr1001	4476503	4477221
Gd_00045-a2ab	chr1001	4477258	4479930
Gd_00045-a2ab	chr1001	4479941	4489663
Gd_00045-a2ab	chr1001	4489675	4519690
Gd_00045-a2ab	chr1001	4519702	4521128
Gd_00045-a2ab	chr1001	4521141	4530530
Gd_00045-a2ab	chr1001	4546250	4546484
Gd_00045-a2ab	chr1001	4546624	4573760
Gd_00045-a2ab	chr1001	4573832	4574066
Gd_00045-a2ab	chr1001	4574144	4574395
Gd_00045-a2ab	chr1001	4574438	4579375
Gd_00045-a2ab	chr1001	4590171	4595615
Gd_00045-a2ab	chr1001	4596039	4596745
Gd_00045-a2ab	chr1001	4597226	4600644
Gd_00045-a2ab	chr1001	4604793	4607398
Gd_00045-a2ab	chr1001	4607738	4608773
Gd_00045-a2ab	chr1001	4608936	4616702
Gd_00045-a2ab	chr1001	4616998	4640561
Gd_00045-a2ab	chr1001	4640782	4647145
Gd_00045-a2ab	chr1001	4650139	4650296
Gd_00045-a2ab	chr1001	4655581	4656218
Gd_00045-a2ab	chr1001	4656231	4658704
Gd_00045-a2ab	chr1001	4658715	4668339
Gd_00045-a2ab	chr1001	4668371	4670490
Gd_00045-a2ab	chr1001	4672898	4674469
Gd_00045-a2ab	chr1001	4684129	4692887
Gd_00045-a2ab	chr1001	4692910	4693230
Gd_00045-a2ab	chr1001	4693268	4696594
Gd_00045-a2ab	chr1001	4696605	4700009
Gd_00045-a2ab	chr1001	4700029	4709153
Gd_00045-a2ab	chr1001	4709194	4719106
Gd_00045-a2ab	chr1001	4719123	4719786
Gd_00045-a2ab	chr1001	4719832	4725646
Gd_00045-a2ab	chr1001	4742207	4742514
Gd_00045-a2ab	chr1002	160659	160912
Gd_00045-a2ab	chr1002	161078	161607
Gd_00045-a2ab	chr1002	161683	161967
Gd_00045-a2ab	chr1002	172081	173150
Gd_00045-a2ab	chr1002	173299	175031
Gd_00045-a2ab	chr1002	175058	176665
Gd_00045-a2ab	chr1002	193670	194158
Gd_00045-a2ab	chr1002	377788	378938
Gd_00045-a2ab	chr1002	410411	413945
Gd_00045-a2ab	chr1002	433578	437743
Gd_00045-a2ab	chr1002	437755	439194
Gd_00045-a2ab	chr1002	439239	442327
Gd_00045-a2ab	chr1002	444535	447472
Gd_00045-a2ab	chr1002	447512	450789
Gd_00045-a2ab	chr1002	488702	492525
Gd_00045-a2ab	chr1002	499787	503020
Gd_00045-a2ab	chr1002	538652	552710
Gd_00045-a2ab	chr1002	556134	558025
Gd_00045-a2ab	chr1002	558104	559881
Gd_00045-a2ab	chr1002	560103	565685
Gd_00045-a2ab	chr1002	565715	568487
Gd_00045-a2ab	chr1002	568538	569756
Gd_00045-a2ab	chr1002	569840	572518
Gd_00045-a2ab	chr1002	572529	577887
Gd_00045-a2ab	chr1002	577900	578283
Gd_00045-a2ab	chr1002	578354	585733
Gd_00045-a2ab	chr1002	585758	585948
Gd_00045-a2ab	chr1002	586246	586359
Gd_00045-a2ab	chr1002	601473	603947
Gd_00045-a2ab	chr1002	604342	607268
Gd_00045-a2ab	chr1002	659480	687710
Gd_00045-a2ab	chr1002	688291	689122
Gd_00045-a2ab	chr1002	691657	692578
Gd_00045-a2ab	chr1002	700624	703503
Gd_00045-a2ab	chr1002	703528	705025
Gd_00045-a2ab	chr1002	705506	707132
Gd_00045-a2ab	chr1002	709877	723181
Gd_00045-a2ab	chr1002	723194	723404
Gd_00045-a2ab	chr1002	723445	724360
Gd_00045-a2ab	chr1002	724375	724727
Gd_00045-a2ab	chr1002	724739	725690
Gd_00045-a2ab	chr1002	725724	726974
Gd_00045-a2ab	chr1002	729247	729368
Gd_00045-a2ab	chr1002	729729	740631
Gd_00045-a2ab	chr1002	740651	740956
Gd_00045-a2ab	chr1002	740983	763670
Gd_00045-a2ab	chr1002	766959	770355
Gd_00045-a2ab	chr1002	770566	785096
Gd_00045-a2ab	chr1002	785112	809829
Gd_00045-a2ab	chr1002	809840	812104
Gd_00045-a2ab	chr1002	812141	817127
Gd_00045-a2ab	chr1002	817522	818775
Gd_00045-a2ab	chr1002	831133	832792
Gd_00045-a2ab	chr1002	832877	835497
Gd_00045-a2ab	chr1002	852919	853767
Gd_00045-a2ab	chr1002	853798	859553
Gd_00045-a2ab	chr1002	860034	862195
Gd_00045-a2ab	chr1002	862259	881444
Gd_00045-a2ab	chr1002	882463	888401
Gd_00045-a2ab	chr1002	888627	889079
Gd_00045-a2ab	chr1002	893905	898270
Gd_00045-a2ab	chr1002	898586	900518
Gd_00045-a2ab	chr1002	900531	901044
Gd_00045-a2ab	chr1002	901055	902603
Gd_00045-a2ab	chr1002	902626	903123
Gd_00045-a2ab	chr1002	915415	930766
Gd_00045-a2ab	chr1002	933580	934965
Gd_00045-a2ab	chr1002	939901	940547
Gd_00045-a2ab	chr1002	949089	949604
Gd_00045-a2ab	chr1002	949637	949931
Gd_00045-a2ab	chr1002	951998	959782
Gd_00045-a2ab	chr1002	959851	974852
Gd_00045-a2ab	chr1002	974902	975237
Gd_00045-a2ab	chr1002	975255	975690
Gd_00045-a2ab	chr1002	975784	976151
Gd_00045-a2ab	chr1002	979966	985688
Gd_00045-a2ab	chr1002	985705	1028809
Gd_00045-a2ab	chr1002	1028858	1030218
Gd_00045-a2ab	chr1002	1030343	1030987
Gd_00045-a2ab	chr1002	1031048	1040753
Gd_00045-a2ab	chr1002	1040771	1041438
Gd_00045-a2ab	chr1002	1041963	1043313
Gd_00045-a2ab	chr1002	1046342	1046768
Gd_00045-a2ab	chr1002	1047118	1060844
Gd_00045-a2ab	chr1002	1061785	1069115
Gd_00045-a2ab	chr1002	1070930	1073056
Gd_00045-a2ab	chr1002	1073082	1074554
Gd_00045-a2ab	chr1002	1074596	1082226
Gd_00045-a2ab	chr1002	1082246	1089385
Gd_00045-a2ab	chr1002	1123954	1125770
Gd_00045-a2ab	chr1002	1125801	1153235
Gd_00045-a2ab	chr1002	1153621	1154174
Gd_00045-a2ab	chr1002	1156122	1157415
Gd_00045-a2ab	chr1002	1157780	1158560
Gd_00045-a2ab	chr1002	1160554	1172476
Gd_00045-a2ab	chr1002	1173217	1233032
Gd_00045-a2ab	chr1002	1240344	1240542
Gd_00045-a2ab	chr1002	1294419	1295390
Gd_00045-a2ab	chr1002	1296054	1321842
Gd_00045-a2ab	chr1002	1321854	1333437
Gd_00045-a2ab	chr1002	1348458	1348976
Gd_00045-a2ab	chr1002	1356031	1366805
Gd_00045-a2ab	chr1002	1366827	1367633
Gd_00045-a2ab	chr1002	1367722	1368291
Gd_00045-a2ab	chr1002	1368310	1368629
Gd_00045-a2ab	chr1002	1370870	1386427
Gd_00045-a2ab	chr1002	1386579	1391054
Gd_00045-a2ab	chr1002	1391067	1401500
Gd_00045-a2ab	chr1002	1401545	1402087
Gd_00045-a2ab	chr1002	1402404	1436184
Gd_00045-a2ab	chr1002	1436195	1437421
Gd_00045-a2ab	chr1002	1437502	1442036
Gd_00045-a2ab	chr1002	1442058	1454134
Gd_00045-a2ab	chr1002	1454152	1458683
Gd_00045-a2ab	chr1002	1458701	1466679
Gd_00045-a2ab	chr1002	1466703	1469820
Gd_00045-a2ab	chr1002	1469836	1487076
Gd_00045-a2ab	chr1002	1487093	1494582
Gd_00045-a2ab	chr1002	1494598	1511201
Gd_00045-a2ab	chr1002	1511252	1513375
Gd_00045-a2ab	chr1002	1513418	1521922
Gd_00045-a2ab	chr1002	1521937	1523351
Gd_00045-a2ab	chr1002	1523547	1526051
Gd_00045-a2ab	chr1002	1527891	1528875
Gd_00045-a2ab	chr1002	1528915	1529647
Gd_00045-a2ab	chr1002	1529660	1530333
Gd_00045-a2ab	chr1002	1530352	1530710
Gd_00045-a2ab	chr1002	1530725	1566458
Gd_00045-a2ab	chr1002	1566821	1623730
Gd_00045-a2ab	chr1002	1627568	1627762
Gd_00045-a2ab	chr1002	1627920	1628150
Gd_00045-a2ab	chr1002	1628825	1632662
Gd_00045-a2ab	chr1002	1640589	1640995
Gd_00045-a2ab	chr1002	1641039	1641283
Gd_00045-a2ab	chr1002	1641504	1641694
Gd_00045-a2ab	chr1002	1644345	1647496
Gd_00045-a2ab	chr1002	1647843	1652853
Gd_00045-a2ab	chr1002	1652899	1658739
Gd_00045-a2ab	chr1002	1658764	1675416
Gd_00045-a2ab	chr1002	1675752	1675880
Gd_00045-a2ab	chr1002	1679710	1695360
Gd_00045-a2ab	chr1002	1695484	1695613
Gd_00045-a2ab	chr1002	1728650	1731286
Gd_00045-a2ab	chr1002	1732070	1732190
Gd_00045-a2ab	chr1002	1733419	1733740
Gd_00045-a2ab	chr1002	1736506	1748707
Gd_00045-a2ab	chr1002	1749640	1752279
Gd_00045-a2ab	chr1002	1761069	1763644
Gd_00045-a2ab	chr1002	1811884	1812488
Gd_00045-a2ab	chr1002	1816750	1818015
Gd_00045-a2ab	chr1002	1818088	1820743
Gd_00045-a2ab	chr1002	1820768	1821080
Gd_00045-a2ab	chr1002	1822943	1823068
Gd_00045-a2ab	chr1002	1824331	1824954
Gd_00045-a2ab	chr1002	1826687	1826846
Gd_00045-a2ab	chr1002	1826883	1829037
Gd_00045-a2ab	chr1002	1829118	1850576
Gd_00045-a2ab	chr1002	1850599	1852353
Gd_00045-a2ab	chr1002	1854235	1856721
Gd_00045-a2ab	chr1002	1862630	1863238
Gd_00045-a2ab	chr1002	1863676	1864845
Gd_00045-a2ab	chr1002	1864869	1872668
Gd_00045-a2ab	chr1002	1875627	1875771
Gd_00045-a2ab	chr1002	1882611	1887664
Gd_00045-a2ab	chr1002	1890313	1896850
Gd_00045-a2ab	chr1002	1907421	1911263
Gd_00045-a2ab	chr1002	1919050	1921164
Gd_00045-a2ab	chr1002	1921206	1923532
Gd_00045-a2ab	chr1002	1923622	1925591
Gd_00045-a2ab	chr1002	1925805	1929383
Gd_00045-a2ab	chr1002	1929777	1931517
Gd_00045-a2ab	chr1002	1931710	1936713
Gd_00045-a2ab	chr1002	1936730	1948331
Gd_00045-a2ab	chr1002	1948344	1948664
Gd_00045-a2ab	chr1002	1948680	1950256
Gd_00045-a2ab	chr1002	1954825	1956664
Gd_00045-a2ab	chr1002	1956796	1958427
Gd_00045-a2ab	chr1002	1958908	1960465
Gd_00045-a2ab	chr1002	1961129	1961237
Gd_00045-a2ab	chr1002	1965793	1967189
Gd_00045-a2ab	chr1002	1967584	1973107
Gd_00045-a2ab	chr1002	1984206	1986659
Gd_00045-a2ab	chr1002	1987147	1992680
Gd_00045-a2ab	chr1002	2009354	2010674
Gd_00045-a2ab	chr1002	2027878	2028276
Gd_00045-a2ab	chr1002	2030392	2032420
Gd_00045-a2ab	chr1002	2032435	2047544
Gd_00045-a2ab	chr1002	2047603	2056199
Gd_00045-a2ab	chr1002	2056210	2076260
Gd_00045-a2ab	chr1002	2076273	2097567
Gd_00045-a2ab	chr1002	2097604	2097986
Gd_00045-a2ab	chr1002	2099317	2101613
Gd_00045-a2ab	chr1002	2101732	2121781
Gd_00045-a2ab	chr1002	2121799	2125216
Gd_00045-a2ab	chr1002	2125252	2126471
Gd_00045-a2ab	chr1002	2126510	2126614
Gd_00045-a2ab	chr1002	2126705	2140991
Gd_00045-a2ab	chr1002	2141308	2142855
Gd_00045-a2ab	chr1002	2149839	2158407
Gd_00045-a2ab	chr1002	2158484	2171577
Gd_00045-a2ab	chr1002	2171602	2179924
Gd_00045-a2ab	chr1002	2180046	2184494
Gd_00045-a2ab	chr1002	2185185	2186102
Gd_00045-a2ab	chr1002	2194639	2195459
Gd_00045-a2ab	chr1002	2195481	2202677
Gd_00045-a2ab	chr1002	2204699	2212550
Gd_00045-a2ab	chr1002	2212592	2213391
Gd_00045-a2ab	chr1002	2213416	2236989
Gd_00045-a2ab	chr1002	2237297	2241996
Gd_00045-a2ab	chr1002	2242095	2243396
Gd_00045-a2ab	chr1002	2251248	2266418
Gd_00045-a2ab	chr1002	2266433	2267383
Gd_00045-a2ab	chr1002	2268146	2270235
Gd_00045-a2ab	chr1002	2292736	2293580
